58	55	57	54	56	56	57	57	53	50	57	56	53	54	54	57	56	54	56	58	57	55	57	57	56	55	57	57	57	52	57	57	57	57	41	57	56	57	57	57	57	57	54	57	57	57	57	56	57	57	57	57	57	57	57	58	57	57	57	57	57	56	47	57	57	57	57	57	57	57	57	57	57	52	57	56	28	57	
55	67	65	62	64	66	65	65	61	59	65	65	61	62	64	65	64	61	64	65	65	63	66	64	65	63	66	66	63	60	66	66	66	66	50	66	64	64	66	66	65	65	62	64	63	66	66	61	60	66	65	66	65	64	65	64	65	65	65	66	66	65	55	66	65	65	65	65	66	65	65	62	66	58	65	62	33	65	
57	65	76	70	71	72	75	71	69	66	75	74	68	70	72	75	72	70	73	74	75	73	75	73	70	70	75	75	72	67	75	75	75	73	57	75	74	73	75	75	75	73	72	70	69	75	71	67	67	75	73	75	75	73	74	74	75	75	75	73	74	72	62	75	74	75	74	75	75	73	75	72	74	68	75	69	38	75	
54	62	70	72	66	68	70	67	66	64	70	70	66	68	67	70	69	68	68	71	70	69	71	70	68	66	71	71	69	68	71	71	71	69	56	71	69	70	71	71	70	68	67	68	64	71	67	64	64	71	68	71	70	70	69	70	70	70	70	69	70	69	61	71	70	70	69	70	71	69	70	67	70	66	70	64	35	70	
56	64	71	66	72	69	71	69	65	64	71	71	64	66	68	71	68	66	71	70	71	69	71	69	68	67	71	71	68	64	71	71	71	71	55	71	70	69	71	71	71	70	70	69	67	71	70	64	64	71	71	71	71	69	71	70	71	71	71	71	71	68	60	71	70	71	71	71	71	70	71	68	71	64	71	66	37	71	
56	66	72	68	69	74	72	70	66	64	72	72	68	67	71	72	69	68	71	72	72	70	73	71	69	70	73	73	70	65	73	73	73	72	56	73	71	71	73	73	72	71	69	69	66	73	71	66	64	73	71	73	72	71	72	71	72	72	72	71	72	70	59	73	72	72	72	72	73	72	72	69	73	65	72	67	36	72	
57	65	75	70	71	72	76	71	69	66	75	74	68	70	72	75	72	70	73	74	75	73	75	73	70	70	75	75	72	67	75	75	75	73	57	75	74	73	75	75	75	73	72	70	69	75	71	67	67	75	73	75	75	73	74	74	75	75	75	73	74	72	62	75	74	75	74	75	75	73	75	72	74	68	75	69	38	75	
57	65	71	67	69	70	71	73	65	63	71	71	65	68	68	71	68	67	70	71	71	69	72	70	69	68	72	72	68	65	72	72	72	71	55	72	70	70	72	72	71	70	68	69	66	72	70	66	66	72	70	72	71	70	71	70	71	71	71	71	72	69	60	72	72	71	71	71	72	72	71	69	72	66	71	66	37	71	
53	61	69	66	65	66	69	65	70	63	69	68	65	67	67	69	68	67	67	69	69	68	69	69	65	64	69	69	68	63	69	69	69	67	54	69	68	69	69	69	69	69	66	64	65	69	65	61	63	69	67	69	69	69	68	69	69	69	69	67	68	69	61	69	68	69	68	69	69	67	69	66	68	64	69	65	37	69	
50	59	66	64	64	64	66	63	63	68	66	66	63	63	64	66	65	63	64	67	66	64	67	66	63	62	67	67	64	61	67	67	67	67	55	67	65	67	67	67	66	64	64	64	62	67	65	58	58	67	66	67	66	67	65	66	66	66	66	67	66	67	60	67	66	66	65	66	67	65	66	63	66	60	66	60	32	66	
57	65	75	70	71	72	75	71	69	66	76	74	68	70	72	75	72	70	73	74	75	73	75	73	70	70	75	75	72	67	75	75	75	73	57	75	74	73	75	75	75	73	72	70	69	75	71	67	67	75	73	75	75	73	74	74	75	75	75	73	74	72	62	75	74	75	74	75	75	73	75	72	74	68	75	69	38	75	
56	65	74	70	71	72	74	71	68	66	74	76	68	69	71	74	71	70	73	74	74	72	75	73	70	70	75	75	71	67	75	75	75	73	56	75	73	73	75	75	74	72	73	70	68	75	71	66	66	75	72	75	74	73	73	73	74	74	74	73	74	72	61	75	74	74	73	74	75	73	74	71	74	67	74	68	37	74	
53	61	68	66	64	68	68	65	65	63	68	68	70	66	67	68	68	66	66	69	68	68	69	69	65	64	69	69	68	63	69	69	69	67	55	69	67	68	69	69	68	66	65	64	62	69	67	62	61	69	66	69	68	68	67	68	68	68	68	67	68	68	59	69	68	68	67	68	69	67	68	65	68	63	68	64	34	68	
54	62	70	68	66	67	70	68	67	63	70	69	66	71	68	70	70	67	68	70	70	69	70	69	66	65	70	70	69	65	70	70	70	68	56	70	69	69	70	70	70	68	67	65	64	70	66	64	64	70	68	70	70	69	69	70	70	70	70	68	69	69	61	70	69	70	69	70	70	68	70	67	69	67	70	64	36	70	
54	64	72	67	68	71	72	68	67	64	72	71	67	68	73	72	70	68	70	71	72	70	72	70	68	69	72	72	69	65	72	72	72	70	57	72	72	70	72	72	72	70	69	67	66	72	68	64	64	72	70	72	72	70	71	71	72	72	72	70	71	70	60	72	71	72	71	72	72	70	72	69	71	65	72	66	35	72	
57	65	75	70	71	72	75	71	69	66	75	74	68	70	72	76	72	70	73	74	75	73	75	73	70	70	75	75	72	67	75	75	75	73	57	75	74	73	75	75	75	73	72	70	69	75	71	67	67	75	73	75	75	73	74	74	75	75	75	73	74	72	62	75	74	75	74	75	75	73	75	72	74	68	75	69	38	75	
56	64	72	69	68	69	72	68	68	65	72	71	68	70	70	72	73	68	70	72	72	71	72	71	68	67	72	72	70	66	72	72	72	70	57	72	71	71	72	72	72	70	69	67	66	72	68	66	64	72	70	72	72	71	71	72	72	72	72	70	71	71	61	72	71	72	71	72	72	70	72	69	71	67	72	66	37	72	
